2010,,,,,,,,,,,,,
,収集運搬部門費,中間処理部門費,最終処分部門費,,,,,,取扱量（単位：ｔ／年）,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
資源物（缶）,522339247 ,―,―,476621649,51825600,1050786495,,,資源物（缶）,2632,―,―,2632
資源物（ペットボトル）,438550954 ,―,―,214700200,33890348,687141502,,,資源物（ペットボトル）,3426,―,―,3426
剪定枝等再資源化,112303082 ,―,―,223782944,17435978,353522004,,,剪定枝等再資源化,6179,―,―,6179
有害ごみ,21349238 ,―,―,10932779,1674775,33956792,,,有害ごみ,217,―,―,217
合 計,4581666311 ,5841448526,285093633,1682109525,1117093991,13507411986,,,合 計,189776,237173,16115,20951
,,,,,,,,,,,,,
2022,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,資源化 部門費,,,,,,,,,
,,,,,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,2261080073 ,6634062470,238043957,－,953093897,10086280397,,,可燃ごみ,154757,222266,14728,－
不燃ごみ,347409185 ,227105761,3548489,118760345,55448764,752272545,,,不燃ごみ,7014,8198,220,1008
粗大ごみ,800968786 ,142568519,3834188,89188077,165318900,1201878469,,,粗大ごみ,5210,4910,237,757
資源物（びん）,279384419 ,－,－,498924808,39140223,817449450,,,資源物（びん）,6156,－,－,6156
資源物（缶）,526996251 ,－,－,465787720,45679836,1038463806,,,資源物（缶）,2562,－,－,2562
資源物（ペットボトル）,450589330 ,－,－,209372493,30366070,690327893,,,資源物（ペットボト ル）,3389,－,－,3389
剪定枝,119834753 ,－,－,238213888,16474483,374523124,,,剪定枝,6516,－,－,6516
有害ごみ,23841444 ,－,－,12471965,1670847,37984256,,,有害ごみ,218,－,－,218
合計,4810104241 ,7003736750,245426634,1632719296,1307193020,14999179940,,,合計,185821,235374,15185,20606
